DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte,Description,Tests-1,Errors-1,Mean_Test_Time_(ms)-1,Test_Time_Standard_Deviation_(ms)-1,TPS-1,Mean_response_length-1,Response_bytes_per_second-1,Response_errors-1,Mean_time_to_resolve_host-1,Mean_time_to_establish_connection-1,Mean_time_to_first_byte-1,Description,Tests-2,Errors-2,Mean_Test_Time_(ms)-2,Test_Time_Standard_Deviation_(ms)-2,TPS-2,Mean_response_length-2,Response_bytes_per_second-2,Response_errors-2,Mean_time_to_resolve_host-2,Mean_time_to_establish_connection-2,Mean_time_to_first_byte-2
2025-08-28 22:15:32,50,89,0,445.281,33.896,44.5,265.483,11814,10,35.011,36.573,240.73,POST /api/register,50,0,438.2,39.642,25,0,0,0,0,0,0,POST /api/login,50,0,437.4,39.795,25,472.56,11814,10,62.32,65.1,428.5
2025-08-28 22:15:34,50,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:15:36,50,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:15:38,50,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:15:40,50,40,0,25.3,10.127,20,454.85,9097,10,0.05,1.1,24.9,POST /api/register,40,0,25.4,10.124,20,0,0,0,0,0,0,POST /api/login,40,0,25.3,10.127,20,454.85,9097,10,0.05,1.1,24.9
2025-08-28 22:15:42,50,10,0,29.2,1.72,5,543.4,2717,0,0.2,1.6,28.7,POST /api/register,10,0,29.4,1.8,5,0,0,0,0,0,0,POST /api/login,10,0,29.2,1.72,5,543.4,2717,0,0.2,1.6,28.7
2025-08-28 22:15:44,50,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:15:46,50,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:15:48,50,0,0,0,0,0,0,0,0,0,0,0,POST /api/register,0,0,0,0,0,0,0,0,0,0,0,POST /api/login,0,0,0,0,0,0,0,0,0,0,0
2025-08-28 22:15:50,50,41,0,25.049,8.585,20.5,474.244,9722,8,0.024,1.122,24.854,POST /api/register,41,0,25.073,8.535,20.5,0,0,0,0,0,0,POST /api/login,41,0,25.049,8.585,20.5,474.244,9722,8,0.024,1.122,24.854
2025-08-28 22:15:52,50,37,0,31.216,13.989,18.5,466.865,8637,8,0.189,1.27,30.973,POST /api/register,37,0,31.27,14.032,18.5,0,0,0,0,0,0,POST /api/login,37,0,31.216,13.989,18.5,466.865,8637,8,0.189,1.27,30.973
2025-08-28 22:15:54,50,72,0,34.444,15.207,36,474.528,17083,14,0.069,1.236,34.167,POST /api/register,72,0,34.458,15.201,36,0,0,0,0,0,0,POST /api/login,72,0,34.444,15.207,36,474.528,17083,14,0.069,1.236,34.167
2025-08-28 22:15:56,50,100,0,41.27,19.434,50,472.56,23628,20,0.03,1.18,41.08,POST /api/register,100,0,41.32,19.461,50,0,0,0,0,0,0,POST /api/login,100,0,41.27,19.434,50,472.56,23628,20,0.03,1.18,41.08
2025-08-28 22:15:58,50,101,0,54.485,34.873,50.5,473.257,23899.5,20,0.109,1.099,54.297,POST /api/register,101,0,54.525,34.88,50.5,0,0,0,0,0,0,POST /api/login,101,0,54.485,34.873,50.5,473.257,23899.5,20,0.109,1.099,54.297
2025-08-28 22:16:00,50,128,0,74.672,38.206,64,465.898,29817.5,28,0.055,1.055,74.422,POST /api/register,128,0,74.68,38.213,64,0,0,0,0,0,0,POST /api/login,128,0,74.672,38.206,64,465.898,29817.5,28,0.055,1.055,74.422
2025-08-28 22:16:02,50,121,0,96.636,46.008,60.5,479.025,28981,22,0.041,1,96.537,POST /api/register,121,0,96.653,45.993,60.5,0,0,0,0,0,0,POST /api/login,121,0,96.636,46.008,60.5,479.025,28981,22,0.041,1,96.537
2025-08-28 22:16:04,50,111,0,122,51.944,55.5,470.018,26086,23,0.054,1.099,121.901,POST /api/register,111,0,122.018,51.951,55.5,0,0,0,0,0,0,POST /api/login,111,0,122,51.944,55.5,470.018,26086,23,0.054,1.099,121.901
2025-08-28 22:16:06,50,143,0,156.944,52.286,71.5,476.517,34071,27,0.07,1.056,156.888,POST /api/register,143,0,156.951,52.282,71.5,0,0,0,0,0,0,POST /api/login,143,0,156.944,52.286,71.5,476.517,34071,27,0.07,1.056,156.888
2025-08-28 22:16:08,50,149,0,160.094,54.553,74.5,472.081,35170,30,0.081,1.168,159.966,POST /api/register,149,0,160.121,54.55,74.5,0,0,0,0,0,0,POST /api/login,149,0,160.094,54.553,74.5,472.081,35170,30,0.081,1.168,159.966
2025-08-28 22:16:10,50,151,0,150.702,49.436,75.5,470.689,35537,31,0.026,0.868,150.609,POST /api/register,151,0,150.702,49.436,75.5,0,0,0,0,0,0,POST /api/login,151,0,150.702,49.436,75.5,470.689,35537,31,0.026,0.868,150.609
2025-08-28 22:16:12,50,172,0,168.837,54.691,86,475.395,40884,33,0.012,0.826,168.756,POST /api/register,172,0,168.837,54.691,86,0,0,0,0,0,0,POST /api/login,172,0,168.837,54.691,86,475.395,40884,33,0.012,0.826,168.756
2025-08-28 22:16:14,50,174,0,199.58,47.319,87,470.161,40904,36,0.023,0.897,199.466,POST /api/register,174,0,199.598,47.323,87,0,0,0,0,0,0,POST /api/login,174,0,199.58,47.319,87,470.161,40904,36,0.023,0.897,199.466
2025-08-28 22:16:16,50,180,0,188.822,50.303,90,474.489,42704,35,0.022,0.8,188.733,POST /api/register,180,0,188.833,50.314,90,0,0,0,0,0,0,POST /api/login,180,0,188.822,50.303,90,474.489,42704,35,0.022,0.8,188.733
2025-08-28 22:16:18,50,172,0,234.988,50.371,86,471.372,40538,35,0.012,0.901,234.855,POST /api/register,172,0,235.012,50.376,86,0,0,0,0,0,0,POST /api/login,172,0,234.988,50.371,86,471.372,40538,35,0.012,0.901,234.855
2025-08-28 22:16:20,50,199,0,253.171,52.722,99.5,472.191,46983,40,0.03,1.085,253.04,POST /api/register,199,0,253.191,52.709,99.5,0,0,0,0,0,0,POST /api/login,199,0,253.171,52.722,99.5,472.191,46983,40,0.03,1.085,253.04
2025-08-28 22:16:22,50,200,0,249.155,46.52,100,472.56,47256,40,0.04,1.115,249.06,POST /api/register,200,0,249.17,46.52,100,0,0,0,0,0,0,POST /api/login,200,0,249.155,46.52,100,472.56,47256,40,0.04,1.115,249.06
2025-08-28 22:16:24,50,220,0,259.559,59.146,110,478.995,52689.5,40,0.041,1.059,259.455,POST /api/register,220,0,259.559,59.146,110,0,0,0,0,0,0,POST /api/login,220,0,259.559,59.146,110,478.995,52689.5,40,0.041,1.059,259.455
